indice_tiempo,superficie_sembrada_cebada_cervecera_ha,superficie_cosechada_cebada_cervecera_ha,produccion_cebada_cervecera_t,rendimiento_cebada_cervecera_kgxha
1938,525720,343305,263733,819.02
1939,475753,401064,541975,1446.73
1940,580068,457190,541900,895.11
1941,408630,206887,263345,1189.68
1942,383870,230271,227310,900.34
1943,338550,293680,430482,1386.93
1944,388080,284756,408040,1211.07
1945,576517,598358,610997,1159.36
1946,1052808,837479,1021649,1046.04
1947,983050,704230,837657,1016.3
1948,797670,542105,621402,947.91
1949,570250,307950,308290,859.38
1950,642770,502100,679763,1110.71
1951,643920,309910,295237,720.7
1952,851500,725200,1038710,1265.79
1953,834750,573600,790050,1107.06
1954,817170,672710,975735,1226.91
1955,973270,746170,850408,1040.38
1956,1038428,875340,1199070,1180.99
1957,928200,699400,872300,1047.63
1958,963600,749000,904500,1051.65
1959,936500,767200,968226,1064.47
1960,840300,611830,661269,882.41
1961,800360,618700,678160,1003.95
1962,774100,297200,279192,857.41
1963,706980,579780,875210,1017.3
1964,524670,439050,753250,1211.41
1965,503650,279240,280729,840.88
1966,556200,348400,372000,826.89
1967,517390,379300,468100,960.33
1968,466220,376300,380198,938.76
1969,521050,393400,499500,1209.55
1970,410200,308000,318500,1105.85
1971,487500,404600,476000,1124.47
1972,549000,493200,760000,1290.98
1973,455400,400100,608000,1357.28
1974,419300,303300,365000,1177.86
1975,440200,371100,447800,1323.06
1976,470000,411800,670000,1420.53
1977,430000,250000,290000,1138.64
1978,330000,288000,470000,1418.23
1979,222000,198000,286000,1340.74
1980,176700,132200,170000,1179.89
1981,140000,98000,115800,1129.21
1982,103000,95500,180000,1445.78
1983,79000,74000,140000,1322.31
1984,89000,86500,200000,1863.01
1985,60000,60000,100000,1520.81
1986,59300,56255,114900,2050.13
1987,123700,113998,262000,1786.38
1988,150000,133200,322500,1909.97
1989,179400,158400,361100,1752.4
1990,147300,146000,323400,2144.42
1991,233400,230400,570100,2440.14
1992,239300,226400,580100,2316.58
1993,202050,196270,455602,2064.25
1994,147450,146710,341340,2265.78
1995,230750,216600,384705,1973.18
1996,278100,246430,532700,2228.95
1997,323930,319990,921200,2598.94
1998,217165,209485,534758,2436.36
1999,182490,180495,414160,2513.98
2000,246240,245130,717300,2700.36
2001,260330,241660,521150,1933.7
2002,269240,247125,543420,2085.83
2003,343128,331413,1001730,2585.61
2004,271715,270685,886260,3078.4
2005,273050,265150,796190,3014.28
2006,339360,335815,1265660,3210.85
2007,439915,416325,1474510,3289.6
2008,589230,570125,1681880,2783.32
2009,544885,502640,1355801,2650.55
2010,755420,746435,2964075,3790.06
2011,1171237,1121278,4085772,3389.53
2012,1811235,1695695,5158190,2510.55
2013,1263026,1203306,4705160,3162.81
2014,1006118,888873,2901495,3289.81
2015,1467421,1246891,4938723,3297.6
