indice_tiempo,superficie_sembrada_cebada_forrajera_ha,superficie_cosechada_cebada_forrajera_ha,produccion_cebada_forrajera_t,rendimiento_cebada_forrajera_kgxha
1938,308844,203234,190652,820.1
1939,320501,171367,145611,803.23
1940,277654,142988,140301,703.51
1941,188298,69877,65131,773.09
1942,141466,44361,45837,888.87
1943,378350,236054,287519,842.54
1944,166200,29497,21902,478.63
1945,648380,310296,335799,616.61
1946,309501,141439,145876,699.85
1947,178231,83107,98135,774.04
1948,232850,79720,79340,717.5
1949,166845,55290,50972,527.43
1950,253800,78065,82771,597.68
1951,208655,40961,39994,459.48
1952,256400,114700,136576,742.07
1953,247425,78410,101697,629.88
1954,273950,114220,136874,716.34
1955,283635,86836,91663,621.19
1956,355060,136500,165170,644.35
1957,435138,132540,133903,516.72
1958,400163,133080,144238,557.96
1959,394859,138900,160050,598.95
1960,374500,107600,108401,530
1961,370087,116300,115300,511.36
1962,349565,62997,64825,499.97
1963,104640,24750,26491,440.71
1964,346275,101530,133894,614.69
1965,334455,61353,62784,497.65
1966,477847,63270,65943,487.84
1967,345118,92030,87354,484.44
1968,454520,79870,81044,477.18
1969,423685,63586,70486,991.81
1970,402340,48182,48478,978.57
1971,445715,74200,77000,988.36
1972,576730,108000,120000,1021.88
1973,580990,101500,124000,1101.55
1974,530000,65400,65000,975.32
1975,536080,67700,74900,1171.82
1976,496985,64300,90000,1265.08
1977,459890,60000,63000,1066.44
1978,430900,67000,84000,1167.49
1979,369910,48000,53000,1069.81
1980,377900,40400,47000,1030.79
1981,268905,16700,15700,890.26
1982,250300,23400,31400,1152.75
1983,212900,22300,26000,1057.03
1984,192700,20700,24000,1172.36
1985,165900,15700,18000,1225.95
1986,149900,20000,25000,1176.13
1987,121850,17140,19700,1108.28
1988,99860,5960,6300,997.68
1989,94700,3630,3670,1041.43
1990,66200,2900,3200,1115.65
1991,54000,3080,3260,1061.9
1992,45500,2300,3100,1349.65
1993,40300,2580,3837,1418.42
1994,41375,2550,3352,1242.18
1995,31435,1280,1143,830.0
1996,28750,3430,3743,1161.69
1997,19390,3010,4590,1731.75
1998,24230,2680,3650,1455.57
1999,20050,4110,5396,1280.56
2000,15550,2700,5190,1989.85
2001,19788,4830,8895,1890.15
2002,18863,3635,6410,1770.65
2003,25061,2935,3730,1317.75
2004,27995,4622,8350,1872.57
2005,22300,2300,3233,1416.37
2006,27030,1777,2805,1629.35
2007,31770,2855,7180,2351.06
2008,37900,5675,8205,1364.58
2009,42910,6510,9648,970.59
2010,49030,6875,18978,2031.42
2011,58370,10800,16459,1940.68
2012,66000,8210,14750,2006.4
2013,79100,12960,24790,1850.32
2014,75940,11600,23308,2026.09
2015,46840,5175,14510,2810.0
