indice_tiempo,superficie_sembrada_centeno_ha,superficie_cosechada_centeno_ha,produccion_centeno_t,rendimiento_centeno_kgxha
1923,157510,152652,97876,681.18
1924,156000,65471,37020,652.57
1925,202590,144092,121163,814.43
1926,220100,197095,142120,785.25
1927,339800,268663,207505,742.99
1928,516000,350779,228000,854.29
1929,522450,219735,111794,655.64
1930,535000,202320,104892,699.93
1931,557770,388077,247500,750.72
1932,657000,480270,320000,719.11
1933,715520,290380,184133,753.05
1934,863600,533020,397412,849.64
1935,708000,271159,153000,707.67
1936,1269295,440642,215476,653.55
1937,1199275,364661,131302,547.86
1938,975480,562705,371268,707.97
1939,929050,541349,370000,639.97
1940,1346400,300000,240300,772.3
1941,1077000,213894,140000,683.02
1942,1767410,253456,150900,656.39
1943,1825400,802820,557200.3,771.31
1944,1614538,328330,189400,692.82
1945,1503461,569607,293028,730.51
1946,1943991,923434,552193,675.19
1947,1766200,713320,470700,721.72
1948,1835000,566800,305200,671.67
1949,1863000,467000,277100,713.8
1950,2191200,984600,631000,793.15
1951,1996800,151700,81200,653.53
1952,2483100,1068900,1334800,843.42
1953,2445200,836000,607200,780.26
1954,2432700,1093200,835850,821.93
1955,2579500,890000,653900,827.16
1956,2807400,1219500,880000,785.56
1957,2861500,893400,630000,785.62
1958,2834600,1063900,817000,780.45
1959,2895400,1316800,1060000,791.42
1960,2660000,732800,505000,720.15
1961,2645500,694500,510000,776.62
1962,2469000,286550,163100,692.6
1963,2163100,655100,538000,811.43
1964,2131200,773400,651500,907.69
1965,2135800,331200,245000,760.16
1966,2285400,420300,270000,755.74
1967,2285500,564500,352000,763.71
1968,2500000,604200,360000,693.13
1969,2488900,528400,377000,732.68
1970,1976900,360300,180700,691.6
1971,2202200,432700,256000,723.34
1972,2533990,746500,690000,841.06
1973,2515180,656000,613000,860.18
1974,2369780,374700,306000,834.5
1975,2407576,299500,273200,922.47
1976,2299985,340000,330000,1078.49
1977,2139950,240000,170000,840.79
1978,1721940,260000,210000,936.46
1979,1493980,225000,202000,920.54
1980,1489185,210000,155000,868.98
1981,1338385,162200,149000,847.92
1982,1482985,173700,148000,910.3
1983,1222485,160400,130000,815.24
1984,1070285,159200,155800,1007.85
1985,829985,90000,94000,1010.8
1986,775500,64700,60000,876.82
1987,581200,96325,88300,922.5
1988,460000,54580,41200,819.25
1989,595000,80570,62500,800.72
1990,507000,68000,55100,850.78
1991,451800,50800,46000,946.3
1992,462900,48100,34000,824.29
1993,460400,73850,63700,1067.21
1994,473000,56255,54030,1008.17
1995,390305,50930,40200,816.36
1996,380200,42600,36340,907.59
1997,352900,63150,61740,1060.3
1998,372300,60500,66240,1064.93
1999,386750,94065,120345,1202.69
2000,394950,89495,129750,1445.91
2001,359650,64029,86530,1347.14
2002,338040,56450,79150,1382.66
2003,340490,38601,36670,1174.08
2004,293700,62460,91870,1711.14
2005,206990,28675,33070,1277.93
2006,221100,14750,17483,1288.96
2007,227180,38700,77180,2014.51
2008,202850,33580,33859,1256.57
2009,152100,26430,25135,1011.46
2010,158600,24100,44460,1815.61
2011,156040,23405,43110,1916.77
2012,162850,22725,39700,1864.68
2013,310280,31965,52130,1563.72
2014,319170,51112,97398,1857.14
2015,331690,34390,60676,1914.42
2016,307520,40890,78810,2070.73
2017,322710,45034,86098,2126.06
2018,344708,49321,86566,1995.1
2019,726379,108532,221201,1656.39
2020,667809,86000,135945,1617.93
2021,919737,116508,225510,1926.17
2022,886967,107792,179428,1441.85
2023,970260,118002,217699,1544.39
2024,957215,126825,215369,1585.21
