indice_tiempo,superficie_sembrada_lino_ha,superficie_cosechada_lino_ha,produccion_lino_t,rendimiento_lino_kgxha
1895,387324,,,
1896,360000,,,
1897,350847,,,
1898,332788,,,
1899,355329,355329,285200,802.64
1900,607352,607352,390000,642.13
1901,782880,782880,365000,466.23
1902,1307196,1307196,711400,544.22
1903,1487779,1487779,937600,630.20
1904,1082890,1082890,740000,683.36
1905,1022782,1022782,591900,578.72
1906,1190647,1190647,825600,693.40
1907,1391467,1391467,1140000,819.28
1908,1534300,1534300,1048900,683.63
1909,1455600,1276355,716615,561.45
1910,1503820,1263338,595252,471.17
1911,1630000,1515765,572400,377.63
1912,1900000,1845579,1130000,612.27
1913,1834000,1781223,938016,526.61
1914,1723000,1713750,1144090,667.59
1915,1619000,1336622,895100,669.67
1916,1298000,620636,102406,165.00
1917,1308600,940164,497578,529.25
1918,1383650,1208333,781740,646.96
1919,1766000,1732380,1267281,731.53
1920,1930000,1892180,1524242,805.55
1921,1575000,1457990,915618,628.00
1922,1747000,1729900,1208519,698.61
1923,2181902,2169437,1473405,679.16
1924,2558698,2176991,1145190,526.04
1925,2509450,2453150,1907989,777.77
1926,2949500,2884250,2052000,711.45
1927,2855000,2788695,2100000,753.04
1928,2809880,2658094,1990888,748.99
1929,2869500,2116973,1270179,600.00
1930,3039700,2731290,1990000,728.59
1931,3496550,3343970,2262420,676.57
1932,2995000,2587650,1575037,608.67
1933,2773530,1973605,1590000,805.63
1934,3279000,2875100,2025000,704.32
1935,2660000,2268984,1510000,665.50
1936,3499157,3086466,1977862,640.82
1937,2863525,2361000,1549810,656.42
1938,2707385,2400965,1447938,603.07
1939,3075496,2179524,1080400,495.70
1940,2874600,2409009,1720000,713.99
1941,2730000,2321990,1600000,689.06
1942,2474090,2271160,1347979,593.52
1943,2283800,2017810,1573000,779.56
1944,1995900,1253670,786600,627.44
1945,1864822,1383884,964100,696.66
1946,1905100,1537061,1034300,672.91
1947,1573000,1340080,901000,672.35
1948,1304700,868560,432800,498.30
1949,1077600,959800,675800,704.11
1950,1087400,847100,559200,660.13
1951,641300,448400,313400,698.93
1952,1020000,869100,584300,672.30
1953,732300,552300,410000,742.35
1954,739800,633300,405000,639.51
1955,674600,444000,238000,536.04
1956,1285900,1077000,620000,575.67
1957,1447300,1075200,630000,585.94
1958,1202100,994900,620000,623.18
1959,1227500,1116850,825000,738.68
1960,1129100,957100,562000,587.19
1961,1306900,1171700,818000,698.13
1962,1502600,1315300,838600,637.57
1963,1408800,1216700,771000,633.68
1964,1171800,1084300,815000,751.64
1965,1294000,1004400,570000,567.50
1966,923900,800700,577000,720.62
1967,711300,616300,385000,624.70
1968,878600,809500,510000,630.02
1969,952000,790800,640000,728.26
1970,973300,833800,680000,769.48
1971,538800,450860,315600,743.94
1972,508500,441100,330000,762.91
1973,414600,389600,297000,787.00
1974,520000,500600,380700,765.00
1975,471400,446400,377000,802.88
1976,722000,674000,617000,841.76
1977,950000,884000,810000,923.88
1978,893000,817000,600000,795.35
1979,1070000,978000,743000,826.48
1980,780000,726000,585000,809.86
1981,851000,818000,600000,784.33
1982,910000,864000,730000,875.95
1983,810000,804400,660000,809.16
1984,620000,603000,500000,889.29
1985,750000,688000,460000,661.23
1986,758000,744500,622000,875.39
1987,670700,655200,535000,851.28
1988,574000,560400,416000,770.65
1989,595700,573350,486800,911.63
1990,589500,572600,456800,961.30
1991,431300,416400,342900,924.32
1992,215400,206500,176500,981.71
1993,148360,141970,112560,915.73
1994,156090,152835,152182,1055.50
1995,195580,192700,152660,860.54
1996,93530,88740,71707,941.92
1997,115530,107075,75148,889.98
1998,102165,101545,85673,908.92
1999,68330,67875,46917,862.77
2000,28250,28135,22300,894.10
2001,19900,19540,15500,837.62
2002,13800,13800,11250,833.81
2003,28840,28800,29280,972.94
2004,37180,37180,36100,998.71
2005,47040,46690,53780,1088.54
2006,29130,28400,34065,1084.39
2007,9450,9450,9564,935.22
2008,17400,17370,19505,1107.14
2009,38500,37960,52075,1279.41
2010,25750,25600,32170,1222.22
2011,16630,16630,21390,1210.44
2012,14600,14600,17070,1060.73
2013,18200,17900,20430,1093.93
2014,15100,14700,17255,1073.08
2015,17000,17000,20085,1180.00
2016,13000,13000,16610,1277.78
2017,12400,12400,13575,1053.85
2018,14246,14246,19515,1453.85
2019,9046,9046,9950,1157.14
2020,14246,14246,19515,1453.85
2021,11061,11061,12358,1284.21
2022,17145,17144,30498,1529.45
2023,22455,22455,24998,1139.47
2024,8935,8935,8777,982.12
