fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,precipitacion_mm_dia,velocidad_viento_km_h
2010-07-31,6.97,49.21,0.74,0.0,2.664
2010-08-01,4.45,59.27,0.72,0.0,2.592
2010-08-02,2.23,72.1,0.66,0.0,2.3760000000000003
2010-08-03,0.65,78.53,0.48,0.63,1.728
2010-08-04,-0.04,72.92,0.59,0.0,2.124
2010-08-05,1.27,70.33,0.87,0.0,3.132
2010-08-06,5.99,59.47,0.89,0.0,3.204
2010-08-07,6.2,66.0,0.81,0.0,2.9160000000000004
2010-08-08,7.06,65.61,0.81,0.0,2.9160000000000004
2010-08-09,7.23,69.89,0.68,0.0,2.4480000000000004
2010-08-10,7.23,58.92,0.89,0.0,3.204
2010-08-11,9.03,63.8,0.71,0.61,2.556
2010-08-12,8.93,64.84,1.15,0.17,4.14
2010-08-13,3.69,61.29,0.85,0.06,3.06
2010-08-14,3.09,61.62,0.67,0.0,2.4120000000000004
2010-08-15,3.54,71.81,1.25,0.0,4.5
2010-08-16,8.49,61.02,0.84,0.0,3.024
2010-08-17,14.56,60.0,1.09,0.0,3.9240000000000004
2010-08-18,16.88,60.45,0.77,0.0,2.7720000000000002
2010-08-19,12.6,46.23,0.8,0.0,2.8800000000000003
2010-08-20,13.79,47.23,1.02,0.0,3.672
2010-08-21,16.96,64.75,0.78,0.0,2.8080000000000003
2010-08-22,19.44,63.51,0.69,0.0,2.484
2010-08-23,15.03,67.92,0.93,0.0,3.3480000000000003
2010-08-24,11.21,54.6,0.69,0.0,2.484
2010-08-25,12.22,46.25,0.47,0.0,1.692
2010-08-26,14.89,40.84,1.21,0.0,4.356
2010-08-27,16.46,48.0,0.76,0.0,2.736
2010-08-28,21.02,52.58,0.93,0.0,3.3480000000000003
2010-08-29,10.03,47.79,1.15,0.0,4.14
2010-08-30,10.01,57.81,0.67,0.01,2.4120000000000004
2010-08-31,11.41,69.51,0.84,0.01,3.024
2010-09-01,5.76,75.81,1.36,0.17,4.896000000000001
2010-09-02,4.66,76.82,0.92,1.06,3.3120000000000003
2010-09-03,8.41,63.69,1.32,0.07,4.752000000000001
2010-09-04,13.11,50.69,1.31,0.0,4.716
2010-09-05,14.04,44.97,0.85,0.0,3.06
2010-09-06,15.38,39.76,0.86,0.0,3.096
2010-09-07,16.19,41.13,0.86,0.0,3.096
2010-09-08,17.35,41.23,1.12,0.0,4.032000000000001
2010-09-09,19.18,44.79,1.02,0.0,3.672
2010-09-10,19.69,58.75,1.05,0.01,3.7800000000000002
2010-09-11,14.46,59.28,0.76,0.0,2.736
2010-09-12,12.3,55.14,0.97,0.0,3.492
2010-09-13,11.11,55.85,0.97,0.0,3.492
2010-09-14,12.81,33.22,0.74,0.0,2.664
2010-09-15,15.94,31.81,0.86,0.0,3.096
2010-09-16,14.58,50.18,0.68,0.0,2.4480000000000004
2010-09-17,12.73,58.93,0.71,0.0,2.556
2010-09-18,15.01,50.11,1.24,0.0,4.464
2010-09-19,18.3,45.34,0.77,0.0,2.7720000000000002
2010-09-20,22.28,37.78,0.96,0.0,3.456
2010-09-21,18.18,55.59,0.61,1.49,2.196
2010-09-22,15.26,73.57,0.75,10.27,2.7
2010-09-23,13.24,64.75,0.62,0.01,2.232
2010-09-24,14.34,74.18,0.61,1.88,2.196
2010-09-25,13.57,86.7,0.69,6.89,2.484
2010-09-26,14.6,89.21,0.8,10.17,2.8800000000000003
2010-09-27,14.88,75.99,1.01,23.56,3.636
2010-09-28,13.16,48.84,1.1,0.01,3.9600000000000004
2010-09-29,13.49,50.23,0.87,0.0,3.132
2010-09-30,13.58,57.55,0.76,0.28,2.736
2010-10-01,7.28,77.91,0.78,11.69,2.8080000000000003
2010-10-02,10.6,48.81,0.72,0.0,2.592
2010-10-03,13.54,38.39,0.96,0.0,3.456
2010-10-04,16.11,42.79,0.67,0.0,2.4120000000000004
2010-10-05,17.68,54.5,0.81,0.0,2.9160000000000004
2010-10-06,18.02,66.89,0.66,3.57,2.3760000000000003
2010-10-07,15.21,50.84,0.9,0.64,3.24
2010-10-08,13.68,49.72,0.76,0.0,2.736
2010-10-09,14.28,61.21,0.7,0.0,2.52
2010-10-10,15.32,69.28,0.76,0.0,2.736
2010-10-11,16.36,63.1,0.8,0.0,2.8800000000000003
2010-10-12,18.45,55.74,0.79,0.0,2.8440000000000003
2010-10-13,18.22,80.6,0.66,12.79,2.3760000000000003
2010-10-14,16.49,73.71,1.01,4.91,3.636
2010-10-15,13.53,72.66,0.68,0.01,2.4480000000000004
2010-10-16,12.48,67.42,0.55,0.0,1.9800000000000002
2010-10-17,15.99,56.45,0.53,0.0,1.9080000000000001
2010-10-18,18.48,47.57,0.71,0.0,2.556
2010-10-19,20.44,42.4,0.79,0.0,2.8440000000000003
2010-10-20,21.55,44.06,0.83,0.0,2.988
2010-10-21,19.61,60.02,0.58,0.38,2.088
2010-10-22,16.42,75.15,0.59,0.38,2.124
2010-10-23,17.32,66.82,0.65,1.31,2.3400000000000003
2010-10-24,13.81,71.9,0.46,16.86,1.6560000000000001
2010-10-25,17.33,53.33,0.7,0.0,2.52
2010-10-26,16.58,44.66,0.81,0.0,2.9160000000000004
2010-10-27,18.96,48.15,0.85,0.0,3.06
2010-10-28,18.77,60.37,0.72,0.0,2.592
2010-10-29,15.9,46.8,0.94,0.0,3.384
2010-10-30,15.94,32.64,0.67,0.0,2.4120000000000004
2010-10-31,19.0,38.5,0.65,0.0,2.3400000000000003
2010-11-01,21.06,40.83,0.61,0.0,2.196
2010-11-02,23.3,34.29,0.57,0.0,2.052
2010-11-03,24.49,35.4,0.8,2.02,2.8800000000000003
2010-11-04,16.21,71.83,0.48,1.47,1.728
2010-11-05,19.99,48.79,0.51,0.02,1.836
2010-11-06,23.9,41.77,0.46,0.0,1.6560000000000001
2010-11-07,27.05,35.63,0.96,0.53,3.456
2010-11-08,13.66,53.97,1.01,0.01,3.636
2010-11-09,14.94,41.05,0.64,0.0,2.3040000000000003
2010-11-10,16.44,39.07,0.68,0.0,2.4480000000000004
2010-11-11,17.56,34.83,0.74,0.0,2.664
2010-11-12,18.05,36.31,0.76,0.0,2.736
2010-11-13,19.31,40.46,0.57,0.0,2.052
2010-11-14,19.19,45.27,0.45,0.04,1.62
2010-11-15,17.77,56.36,0.44,0.46,1.584
