fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
2010-07-01,6.97,49.21,0.74,2.66,0.0
2010-08-01,9.53,60.8,0.83,2.98,1.49
2010-09-01,14.25,56.4,0.9,3.26,55.87
2010-10-01,16.24,56.85,0.73,2.63,52.54
2010-11-01,19.61,52.91,0.55,1.96,74.89
2010-12-01,23.09,48.67,0.42,1.51,64.39
2011-01-01,23.69,58.44,0.29,1.04,120.19
2011-02-01,20.68,71.67,0.24,0.86,129.94
2011-03-01,18.7,65.59,0.29,1.04,50.89
2011-04-01,17.21,60.46,0.35,1.24,25.7
2011-05-01,12.75,71.01,0.43,1.54,3.99
2011-06-01,9.88,67.6,0.56,2.03,20.02
2011-07-01,9.07,60.27,0.71,2.56,1.46
2011-08-01,10.35,55.41,0.88,3.18,7.77
2011-09-01,16.55,38.57,0.98,3.52,5.97
2011-10-01,17.05,59.86,0.69,2.5,110.59
2011-11-01,20.79,59.53,0.62,2.24,123.61
2011-12-01,22.26,50.77,0.41,1.49,45.99
2012-01-01,23.81,52.66,0.31,1.1,118.17
2012-02-01,22.88,67.01,0.24,0.85,125.75
2012-03-01,20.42,65.61,0.27,0.98,38.66
2012-04-01,16.35,69.71,0.32,1.14,47.89
2012-05-01,14.66,69.84,0.42,1.52,9.13
2012-06-01,10.77,59.61,0.62,2.24,0.02
2012-07-01,8.87,49.74,0.74,2.65,0.11
2012-08-01,12.02,61.33,0.84,3.02,25.97
2012-09-01,15.11,62.72,0.86,3.09,71.49
2012-10-01,17.01,69.47,0.79,2.85,130.43
2012-11-01,21.15,59.83,0.55,1.98,66.44
2012-12-01,23.29,56.75,0.4,1.45,91.1
2013-01-01,23.33,57.9,0.28,1.03,95.37
2013-02-01,21.61,64.11,0.27,0.97,83.56
2013-03-01,18.11,66.95,0.29,1.04,93.09
2013-04-01,16.77,66.84,0.33,1.18,49.3
2013-05-01,13.48,64.64,0.46,1.66,42.18
2013-06-01,11.37,64.28,0.56,2.02,1.89
2013-07-01,9.89,62.34,0.74,2.65,9.42
2013-08-01,10.88,47.14,0.9,3.24,11.39
2013-09-01,14.15,45.96,0.92,3.31,3.15
2013-10-01,18.75,52.12,0.77,2.78,91.08
2013-11-01,19.4,61.7,0.63,2.26,183.96
2013-12-01,25.03,57.14,0.38,1.37,97.66
2014-01-01,24.04,56.16,0.28,1.0,55.82
2014-02-01,20.52,80.25,0.23,0.84,232.87
2014-03-01,17.21,76.53,0.26,0.93,100.04
2014-04-01,15.5,78.64,0.3,1.08,151.96
2014-05-01,12.72,84.12,0.39,1.41,32.94
2014-06-01,9.33,76.18,0.57,2.06,4.68
2014-07-01,10.17,67.12,0.75,2.7,2.72
2014-08-01,13.73,54.92,0.91,3.28,0.42
2014-09-01,15.45,59.03,0.83,3.0,26.9
2014-10-01,20.08,57.36,0.77,2.77,90.14
2014-11-01,19.87,56.81,0.58,2.1,138.32
2014-12-01,21.48,62.18,0.39,1.4,87.99
2015-01-01,22.78,71.69,0.26,0.93,278.22
2015-02-01,20.43,80.6,0.24,0.85,320.6
2015-03-01,19.51,82.5,0.22,0.78,90.17
2015-04-01,17.66,79.69,0.28,1.0,45.61
2015-05-01,14.2,78.8,0.4,1.43,9.6
2015-06-01,11.68,69.82,0.56,2.02,1.33
2015-07-01,10.3,64.95,0.74,2.65,33.83
2015-08-01,13.19,67.1,0.83,2.97,19.57
2015-09-01,14.46,58.29,0.76,2.75,17.05
2015-10-01,15.6,61.46,0.76,2.75,27.08
2015-11-01,18.34,65.38,0.56,2.03,125.58
2015-12-01,22.88,64.5,0.37,1.32,92.65
2016-01-01,23.54,67.67,0.25,0.91,175.28
2016-02-01,22.78,76.24,0.25,0.91,209.51
2016-03-01,18.44,77.93,0.25,0.9,84.3
2016-04-01,14.75,83.31,0.29,1.03,137.42
2016-05-01,10.67,86.38,0.35,1.26,11.12
2016-06-01,7.82,79.38,0.53,1.91,58.0
2016-07-01,8.73,78.28,0.65,2.35,1.81
2016-08-01,13.09,61.11,0.83,2.99,3.9
2016-09-01,14.51,53.46,0.87,3.12,0.56
2016-10-01,17.06,62.86,0.76,2.73,95.29
2016-11-01,19.77,53.89,0.6,2.14,65.74
2016-12-01,23.32,54.73,0.41,1.46,126.16
2017-01-01,24.6,58.03,0.28,0.99,76.8
2017-02-01,23.29,68.54,0.23,0.84,138.3
2017-03-01,20.31,67.76,0.25,0.89,56.51
2017-04-01,15.86,73.37,0.3,1.07,51.9
2017-05-01,12.87,76.65,0.42,1.52,36.64
2017-06-01,11.53,69.71,0.6,2.16,45.52
2017-07-01,11.54,69.3,0.73,2.63,3.03
2017-08-01,13.04,60.78,0.87,3.12,2.46
2017-09-01,13.96,62.99,0.85,3.06,109.02
2017-10-01,17.3,54.07,0.79,2.83,53.63
2017-11-01,21.02,49.2,0.59,2.13,70.73
2017-12-01,23.49,57.61,0.38,1.37,110.77
2018-01-01,23.29,58.21,0.32,1.14,88.1
2018-02-01,23.05,56.06,0.32,1.15,66.63
2018-03-01,21.08,50.1,0.28,1.0,14.49
2018-04-01,20.63,67.02,0.29,1.04,27.25
2018-05-01,14.64,76.94,0.41,1.47,104.85
2018-06-01,8.97,65.87,0.6,2.16,1.67
2018-07-01,7.62,65.68,0.72,2.58,0.5
2018-08-01,11.43,48.07,0.97,3.5,1.12
2018-09-01,17.35,58.84,0.79,2.86,25.73
2018-10-01,18.24,55.22,0.72,2.59,57.02
2018-11-01,20.42,65.36,0.58,2.08,189.51
2018-12-01,22.2,63.01,0.39,1.39,86.58
2019-01-01,22.75,74.37,0.26,0.93,204.71
2019-02-01,21.73,69.47,0.25,0.88,56.62
2019-03-01,18.15,76.02,0.26,0.93,140.67
2019-04-01,16.46,75.26,0.29,1.05,69.44
2019-05-01,12.91,77.53,0.43,1.53,20.98
2019-06-01,11.09,70.71,0.61,2.21,5.72
2019-07-01,9.94,68.79,0.71,2.55,1.86
2019-08-01,11.25,57.43,0.88,3.16,0.0
2019-09-01,14.55,47.42,0.9,3.24,6.25
2019-10-01,17.85,56.94,0.75,2.69,61.15
2019-11-01,21.95,59.57,0.56,2.03,119.19
2019-12-01,22.74,55.18,0.4,1.42,168.87
2020-01-01,23.45,64.27,0.27,0.97,59.61
2020-02-01,21.61,68.71,0.25,0.91,206.79
2020-03-01,22.12,67.67,0.25,0.89,86.56
2020-04-01,17.09,65.3,0.31,1.13,25.49
2020-05-01,14.23,57.66,0.47,1.69,0.05
2020-06-01,10.72,61.7,0.6,2.16,0.15
2020-07-01,9.55,56.32,0.69,2.49,0.17
2020-08-01,13.19,39.63,0.91,3.28,0.0
2020-09-01,15.69,43.27,0.91,3.27,6.78
2020-10-01,18.26,46.48,0.75,2.68,31.33
2020-11-01,21.17,53.6,0.57,2.07,55.27
2020-12-01,22.62,49.67,0.45,1.61,106.92
2021-01-01,22.34,64.27,0.26,0.95,177.72
2021-02-01,20.74,68.99,0.29,1.03,72.4
2021-03-01,19.49,70.58,0.29,1.05,111.26
2021-04-01,17.47,77.41,0.29,1.05,44.35
2021-05-01,12.64,69.45,0.46,1.65,30.9
2021-06-01,9.0,73.39,0.55,1.98,13.66
2021-07-01,10.93,58.64,0.74,2.68,1.34
2021-08-01,12.45,50.67,0.87,3.14,0.0
2021-09-01,15.85,55.07,0.93,3.34,19.32
2021-10-01,18.83,43.51,0.8,2.87,66.49
2021-11-01,19.95,58.83,0.57,2.04,140.23
2021-12-01,23.38,59.24,0.37,1.34,68.7
2022-01-01,25.0,56.34,0.28,1.02,140.65
2022-02-01,21.61,60.29,0.29,1.04,75.0
2022-03-01,19.07,61.64,0.31,1.11,77.67
2022-04-01,16.32,62.25,0.33,1.17,13.24
2022-05-01,11.92,66.03,0.45,1.62,14.25
2022-06-01,8.86,64.56,0.57,2.06,5.11
2022-07-01,11.52,55.74,0.75,2.7,1.1
2022-08-01,11.88,52.9,0.86,3.08,17.36
2022-09-01,14.08,40.27,0.87,3.14,18.24
2022-10-01,17.12,46.44,0.82,2.96,27.51
2022-11-01,21.76,45.33,0.61,2.19,61.08
2022-12-01,24.29,47.24,0.37,1.33,77.54
2023-01-01,24.49,57.36,0.27,0.98,156.15
2023-02-01,22.63,57.86,0.26,0.95,49.88
2023-03-01,23.45,66.71,0.24,0.85,121.66
2023-04-01,17.02,73.36,0.3,1.08,36.65
2023-05-01,14.71,70.95,0.4,1.45,23.22
2023-06-01,11.53,69.86,0.54,1.94,0.52
2023-07-01,11.55,69.88,0.71,2.54,19.4
2023-08-01,14.02,52.82,0.83,2.99,0.0
2023-09-01,15.35,51.16,0.87,3.14,4.02
2023-10-01,18.76,45.13,0.83,2.98,15.76
2023-11-01,20.95,50.13,0.63,2.25,69.82
2023-12-01,22.85,62.27,0.42,1.52,101.43
2024-01-01,22.8,64.87,0.28,1.0,133.52
2024-02-01,23.22,67.81,0.26,0.92,147.68
2024-03-01,23.27,66.82,0.25,0.89,27.45
2024-04-01,16.9,72.85,0.28,1.02,80.68
2024-05-01,8.89,72.84,0.42,1.52,9.09
2024-06-01,12.01,67.63,0.59,2.14,0.66
2024-07-01,8.18,63.17,0.7,2.52,4.09
2024-08-01,11.01,54.98,0.83,2.97,2.97
2024-09-01,17.99,38.06,0.93,3.34,2.67
2024-10-01,19.22,60.55,0.75,2.71,143.69
2024-11-01,21.0,62.76,0.57,2.06,126.85
2024-12-01,21.21,60.42,0.41,1.49,89.21
2025-01-01,24.76,59.21,0.27,0.97,106.2
2025-02-01,25.99,61.66,0.24,0.85,82.78
2025-03-01,20.26,77.17,0.25,0.88,161.03
2025-04-01,15.06,73.58,0.32,1.15,15.91
2025-05-01,14.51,72.83,0.42,1.51,5.85
2025-06-01,8.68,68.01,0.61,2.2,141.47
2025-07-01,10.3,71.24,1.91,6.86,28.4
