fecha,temperatura_media_C,precipitacion_mm,humedad_relativa_%,velocidad_viento_km_h
2010-07-01,10.08,0.0,42.24,9.53
2010-08-01,11.73,91.36,44.95,8.03
2010-09-01,14.69,79.5,52.22,8.47
2010-10-01,18.27,88.26,61.49,8.51
2010-11-01,21.34,162.13,67.62,7.67
2010-12-01,24.41,131.74,70.27,8.21
2011-01-01,25.71,58.17,74.05,8.63
2011-02-01,24.31,171.22,76.76,8.53
2011-03-01,21.29,78.26,66.43,8.31
2011-04-01,17.68,74.89,55.23,6.8
2011-05-01,14.31,35.31,49.96,8.6
2011-06-01,11.51,46.49,47.69,8.29
2011-07-01,10.2,63.31,44.29,7.74
2011-08-01,11.36,9.05,46.79,8.24
2011-09-01,14.51,82.89,51.73,7.95
2011-10-01,17.72,85.14,58.64,8.44
2011-11-01,21.26,87.81,66.89,7.01
2011-12-01,24.17,119.07,73.16,8.04
2012-01-01,26.43,95.11,71.39,8.63
2012-02-01,25.4,48.2,73.83,8.19
2012-03-01,21.96,57.17,66.33,8.15
2012-04-01,18.19,104.78,56.28,7.34
2012-05-01,14.13,50.09,49.46,8.06
2012-06-01,10.33,51.37,48.15,8.11
2012-07-01,9.91,57.61,43.18,7.23
2012-08-01,9.64,65.87,47.14,8.2
2012-09-01,13.6,50.08,52.63,7.61
2012-10-01,17.67,59.75,59.53,9.82
2012-11-01,22.59,128.61,68.84,7.66
2012-12-01,25.5,84.16,72.18,8.37
2013-01-01,25.63,84.99,75.07,8.77
2013-02-01,24.66,118.6,73.96,8.44
2013-03-01,21.42,37.42,67.08,7.32
2013-04-01,18.38,143.01,60.22,8.1
2013-05-01,13.28,66.37,51.65,9.57
2013-06-01,10.36,12.86,47.73,8.46
2013-07-01,10.01,77.88,44.74,7.48
2013-08-01,10.35,84.07,46.42,7.37
2013-09-01,14.11,48.69,50.16,9.04
2013-10-01,18.75,108.79,58.93,8.58
2013-11-01,22.43,170.01,71.16,7.49
2013-12-01,25.71,97.81,74.5,7.13
2014-01-01,25.93,106.68,75.14,8.0
2014-02-01,24.47,85.42,72.94,8.29
2014-03-01,22.15,104.79,69.73,7.12
2014-04-01,18.65,57.16,59.99,8.66
2014-05-01,13.25,86.02,54.32,8.37
2014-06-01,11.05,74.32,44.88,8.34
2014-07-01,9.85,55.46,43.38,7.06
2014-08-01,10.53,96.21,47.11,7.91
2014-09-01,15.07,92.73,52.08,7.97
2014-10-01,18.72,98.79,61.25,6.41
2014-11-01,23.09,101.44,67.8,8.01
2014-12-01,24.81,239.6,76.33,9.5
2015-01-01,25.46,127.4,78.01,7.06
2015-02-01,24.93,106.17,71.27,7.9
2015-03-01,22.42,100.22,68.94,8.15
2015-04-01,18.36,108.0,60.73,8.9
2015-05-01,13.97,105.13,50.74,7.4
2015-06-01,10.73,99.04,45.93,8.21
2015-07-01,10.35,33.71,43.83,8.01
2015-08-01,10.91,59.64,46.88,8.33
2015-09-01,14.57,106.56,52.6,8.75
2015-10-01,18.36,101.66,60.14,7.79
2015-11-01,22.31,105.92,65.92,7.77
2015-12-01,23.67,101.13,74.88,7.71
2016-01-01,26.24,95.42,73.03,8.26
2016-02-01,24.58,77.13,74.07,8.19
2016-03-01,22.39,104.43,68.54,8.13
2016-04-01,17.87,96.25,60.42,8.54
2016-05-01,14.16,50.86,56.48,7.83
2016-06-01,11.38,89.1,46.68,8.28
2016-07-01,10.6,36.97,46.5,8.25
2016-08-01,10.77,51.04,46.47,8.06
2016-09-01,13.55,71.42,54.02,6.64
2016-10-01,18.48,139.29,61.29,7.39
2016-11-01,21.11,167.15,68.09,8.57
2016-12-01,25.56,162.77,74.33,7.95
2017-01-01,26.47,126.87,74.69,6.53
2017-02-01,24.41,53.31,73.96,8.04
2017-03-01,22.94,91.91,72.02,7.38
2017-04-01,18.38,124.46,60.71,8.54
2017-05-01,13.26,124.2,51.53,9.11
2017-06-01,10.85,72.39,46.76,8.36
2017-07-01,9.8,57.51,46.25,7.45
2017-08-01,11.11,8.97,46.24,7.53
2017-09-01,12.78,102.42,54.2,7.39
2017-10-01,19.27,68.09,62.59,8.5
2017-11-01,21.96,90.79,67.26,7.1
2017-12-01,25.66,60.84,71.71,8.84
2018-01-01,25.31,143.78,76.35,8.56
