anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
1923,Adolfo Alsina,8000,6700.0,6700.0,1000.0
1923,Adolfo Gonzales Chaves,84000,78000.0,124800.0,1600.0
1923,Alberti,4700,4200.0,4494.0,1070.0
1923,Ayacucho,1780,1553.0,1508.0,971.0
1923,Azul,10000,8500.0,11390.0,1340.0
1923,Bahía Blanca,8000,6350.0,7620.0,1200.0
1923,Balcarce,4400,3800.0,5130.0,1350.0
1923,Baradero,750,450.0,355.0,790.0
1923,Bartolome Mitre,2000,1400.0,1120.0,800.0
1923,Benito Juárez,25500,20000.0,28600.0,1430.0
1923,Bolívar,17300,14980.0,21571.0,1440.0
1923,Bragado,6000,4800.0,4920.0,1025.0
1923,Campana,400,170.0,146.0,860.0
1923,Carlos Casares,4700,4000.0,4480.0,1120.0
1923,Carlos Tejedor,7000,6000.0,7320.0,1220.0
1923,Carmen de Areco,400,180.0,126.0,700.0
1923,Castelli,1080,780.0,780.0,1000.0
1923,Colón,500,150.0,105.0,700.0
1923,Coronel Dorrego,89500,76000.0,109212.0,1437.0
1923,Coronel Pringles,46000,41500.0,58307.0,1405.0
1923,Coronel Suárez,13000,10650.0,12780.0,1200.0
1923,Chacabuco,3000,2400.0,2184.0,910.0
1923,Chascomús,1320,1000.0,1000.0,1000.0
1923,Chivilcoy,5000,4000.0,4320.0,1080.0
1923,Exaltación de la Cruz,1000,900.0,666.0,740.0
1923,General Alvarado,3400,2860.0,4433.0,1550.0
1923,General Alvear,2000,1800.0,1620.0,900.0
1923,General Arenales,3000,1630.0,1450.0,890.0
1923,General Belgrano,1000,850.0,680.0,800.0
1923,General Juan Madariaga,800,,,
1923,General La Madrid,6400,6000.0,5520.0,920.0
1923,General Paz,860,850.0,790.0,930.0
1923,General Pinto,7000,6000.0,7440.0,1240.0
1923,General Pueyrredón,2300,1500.0,1650.0,1100.0
1923,General Viamonte,7000,6000.0,7200.0,1200.0
1923,General Villegas,10000,8000.0,7200.0,900.0
1923,Guaminí,12000,9800.0,11858.0,1210.0
1923,Junín,6000,4800.0,4944.0,1030.0
1923,Laprida,5000,4200.0,4620.0,1100.0
1923,Las Flores,1500,1000.0,1250.0,1250.0
1923,Leandro N. Alem,1400,900.0,855.0,950.0
1923,Lincoln,13200,12800.0,14848.0,1160.0
1923,Lobería,12750,9500.0,14250.0,1500.0
1923,Lobos,2000,1600.0,1568.0,980.0
1923,Luján,2500,1600.0,1440.0,900.0
1923,Magdalena,1700,1300.0,1235.0,950.0
1923,Maipú,2300,1000.0,1000.0,1000.0
1923,Mar Chiquita,1550,,,
1923,Mercedes,1000,800.0,560.0,700.0
1923,Monte,1200,800.0,888.0,1110.0
1923,Navarro,1000,670.0,670.0,1000.0
1923,Necochea,83600,66000.0,105006.0,1591.0
1923,9 de Julio,12000,9500.0,10830.0,1140.0
1923,Olavarría,20500,18500.0,24050.0,1340.0
1923,Patagones,2000,1000.0,930.0,930.0
1923,Pehuajó,16300,15130.0,19669.0,1300.0
