profile_identifier,latitude,longitude,country_code,bulk_density,ca_co3,coarse_fragments,ecec,conductivity,organic_carbon,ph,clay,silt,sand,water_retention
63821,-49.66600037,-72.81749725,ARG,,,,,0.3,9.7,7.2,20.0,7.0,73.0,
63821,-49.66600037,-72.81749725,ARG,,32.0,,,0.7,11.9,7.3,53.0,5.0,42.0,
63821,-49.66600037,-72.81749725,ARG,,240.0,,,0.6,14.0,7.8,54.0,5.0,41.0,
63821,-49.66600037,-72.81749725,ARG,,360.0,,,0.4,6.8,8.1,39.0,7.0,54.0,
63822,-30.76000023,-68.76000214,ARG,,,,,,5.0,8.6,15.0,31.0,54.0,
63823,-39.08000183,-67.52999878,ARG,,,,,,2.0,7.9,17.0,27.0,56.0,
63823,-39.08000183,-67.52999878,ARG,,,,,,2.0,7.7,15.0,20.0,65.0,
63823,-39.08000183,-67.52999878,ARG,,,,,,3.0,7.8,12.0,21.0,67.0,
63823,-39.08000183,-67.52999878,ARG,,,,,,4.0,7.7,11.0,20.0,69.0,
63824,-27.29999924,-63.51660156,ARG,,,,,10.5,22.1,7.3,25.0,45.0,30.0,
63824,-27.29999924,-63.51660156,ARG,,,,,25.4,8.3,7.9,45.0,33.0,22.0,
63824,-27.29999924,-63.51660156,ARG,,,,,34.7,4.3,7.4,61.0,31.0,8.0,
63825,-27.71665955,-63.5,ARG,,,,,1.9,20.5,7.9,11.0,63.0,26.0,
63825,-27.71665955,-63.5,ARG,,,,,4.3,3.6,8.2,9.0,65.0,26.0,
63825,-27.71665955,-63.5,ARG,,,,,7.9,2.0,7.9,8.0,34.0,54.0,
63826,-39.97999954,-63.24000168,ARG,,,,,3.7,5.6,7.6,14.0,21.0,65.0,
63826,-39.97999954,-63.24000168,ARG,,44.0,,,10.5,2.3,8.5,20.0,20.0,60.0,
63826,-39.97999954,-63.24000168,ARG,,296.0,,,14.3,2.6,8.3,16.0,14.0,70.0,
63827,-26.75,-62.83330154,ARG,,,,,1.0,15.0,7.1,14.0,48.0,38.0,
63827,-26.75,-62.83330154,ARG,,,,,1.6,9.9,7.3,29.0,51.0,20.0,
63827,-26.75,-62.83330154,ARG,,,,,7.2,5.3,7.4,2.0,35.0,63.0,
63828,-38.68999863,-59.86999893,ARG,,,,,,12.9,6.3,23.0,25.0,52.0,
63828,-38.68999863,-59.86999893,ARG,,,,,,3.9,6.4,19.0,24.0,57.0,
63828,-38.68999863,-59.86999893,ARG,,,,,,1.7,6.7,12.0,24.0,64.0,
63828,-38.68999863,-59.86999893,ARG,,77.0,,,,0.4,8.1,10.0,21.0,69.0,
63829,-36.43360138,-57.42829895,ARG,,0.0,,,6.6,106.7,6.5,51.0,36.0,13.0,
63829,-36.43360138,-57.42829895,ARG,,1.0,,,8.6,31.0,7.7,55.0,33.0,12.0,
63829,-36.43360138,-57.42829895,ARG,,111.0,,,5.3,17.0,8.6,43.0,38.0,19.0,
63829,-36.43360138,-57.42829895,ARG,,233.0,,,5.1,4.8,8.8,32.0,39.0,29.0,
63829,-36.43360138,-57.42829895,ARG,,22.0,,,3.7,4.0,8.9,43.0,47.0,10.0,
66885,-34.22638889,-60.82222222,ARG,,0.0,,,0.1,20.3,6.0,24.0,59.0,17.0,
66885,-34.22638889,-60.82222222,ARG,,0.0,,,0.1,10.5,6.1,27.0,57.0,16.0,
66885,-34.22638889,-60.82222222,ARG,,0.0,,,0.1,6.0,6.3,35.0,48.0,17.0,
66885,-34.22638889,-60.82222222,ARG,,0.0,,,0.1,4.5,6.4,31.0,49.0,20.0,
66885,-34.22638889,-60.82222222,ARG,,0.0,,,0.1,2.8,6.4,21.0,52.0,27.0,
66885,-34.22638889,-60.82222222,ARG,,1.0,,,0.1,1.1,6.5,12.0,60.0,28.0,
66972,-33.75416667,-60.80833333,ARG,,0.0,,,0.1,12.9,6.0,38.0,56.0,6.0,
66972,-33.75416667,-60.80833333,ARG,,0.0,,,0.1,6.9,6.4,33.0,62.0,5.0,
66972,-33.75416667,-60.80833333,ARG,,,,,,4.6,6.7,52.0,45.0,3.0,
66972,-33.75416667,-60.80833333,ARG,,,,,,2.7,6.9,48.0,47.0,5.0,
66972,-33.75416667,-60.80833333,ARG,,,,,,2.2,7.8,41.0,53.0,6.0,
66972,-33.75416667,-60.80833333,ARG,,,,,,2.2,8.2,30.0,58.0,12.0,
66973,-34.89666667,-60.425,ARG,,,,,5.5,23.0,7.1,21.0,36.0,43.0,
66973,-34.89666667,-60.425,ARG,,,,,5.0,6.4,7.2,23.0,38.0,39.0,
66973,-34.89666667,-60.425,ARG,,,,,4.8,3.2,7.4,22.0,33.0,45.0,
66973,-34.89666667,-60.425,ARG,,,,,5.0,1.6,7.5,21.0,32.0,47.0,
66973,-34.89666667,-60.425,ARG,,,,,5.2,1.6,7.6,18.0,33.0,49.0,
66974,-33.89583333,-60.33611111,ARG,,0.0,,,0.1,19.8,5.4,26.0,66.0,8.0,
66974,-33.89583333,-60.33611111,ARG,,0.0,,,0.1,16.2,5.5,26.0,67.0,7.0,
66974,-33.89583333,-60.33611111,ARG,,0.0,,,0.1,11.1,5.5,32.0,60.0,8.0,
66974,-33.89583333,-60.33611111,ARG,,0.0,,,0.1,7.0,6.0,43.0,51.0,6.0,
66974,-33.89583333,-60.33611111,ARG,,1.0,,,0.1,3.5,6.5,37.0,56.0,7.0,
66974,-33.89583333,-60.33611111,ARG,,1.0,,,0.1,1.0,6.5,31.0,61.0,8.0,
66975,-33.68055556,-60.05277778,ARG,,0.0,,,0.1,24.8,5.9,29.0,66.0,5.0,
66975,-33.68055556,-60.05277778,ARG,,0.0,,,0.1,17.0,6.3,32.0,64.0,4.0,
66975,-33.68055556,-60.05277778,ARG,,0.0,,,0.1,9.9,6.4,34.0,61.0,5.0,
66975,-33.68055556,-60.05277778,ARG,,,,,,7.6,6.9,57.0,40.0,3.0,
66975,-33.68055556,-60.05277778,ARG,,,,,,2.1,7.4,39.0,57.0,4.0,
66975,-33.68055556,-60.05277778,ARG,,,,,,0.8,8.3,26.0,66.0,8.0,
66976,-33.96944444,-59.53194444,ARG,,0.0,,,0.1,21.5,5.8,26.0,60.0,14.0,
66976,-33.96944444,-59.53194444,ARG,,0.0,,,0.1,19.6,6.0,28.0,56.0,16.0,
66976,-33.96944444,-59.53194444,ARG,,0.0,,,0.1,10.7,6.2,58.0,36.0,6.0,
66976,-33.96944444,-59.53194444,ARG,,,,,,2.3,7.1,40.0,49.0,11.0,
66976,-33.96944444,-59.53194444,ARG,,53.0,,,,1.6,8.1,29.0,56.0,15.0,
66976,-33.96944444,-59.53194444,ARG,,45.0,,,,1.0,7.9,28.0,58.0,14.0,
66977,-34.07833333,-59.78472222,ARG,,0.0,,,0.1,20.2,6.1,24.0,63.0,13.0,
66977,-34.07833333,-59.78472222,ARG,,0.0,,,0.1,12.9,6.3,31.0,55.0,14.0,
66977,-34.07833333,-59.78472222,ARG,,,,,,7.0,6.9,48.0,42.0,10.0,
66977,-34.07833333,-59.78472222,ARG,,,,,,3.9,7.2,38.0,50.0,12.0,
66977,-34.07833333,-59.78472222,ARG,,,,,,2.7,7.3,30.0,56.0,14.0,
66977,-34.07833333,-59.78472222,ARG,,149.0,,,,1.8,8.5,,,,
66978,-34.10277778,-60.41666667,ARG,,0.0,,,0.1,22.6,6.2,21.0,64.0,15.0,
66978,-34.10277778,-60.41666667,ARG,,0.0,,,0.1,19.2,6.2,25.0,63.0,12.0,
66978,-34.10277778,-60.41666667,ARG,,1.0,,,0.1,9.2,6.5,27.0,58.0,15.0,
66978,-34.10277778,-60.41666667,ARG,,,,,,5.4,6.6,32.0,53.0,15.0,
66978,-34.10277778,-60.41666667,ARG,,,,,,5.1,6.7,40.0,48.0,12.0,
66978,-34.10277778,-60.41666667,ARG,,,,,,2.4,6.9,26.0,54.0,20.0,
66979,-33.86388889,-60.66805556,ARG,,0.0,,,0.1,16.9,5.9,23.0,65.0,12.0,
66979,-33.86388889,-60.66805556,ARG,,0.0,,,0.1,14.8,6.1,23.0,65.0,12.0,
66979,-33.86388889,-60.66805556,ARG,,0.0,,,0.1,8.7,6.2,30.0,57.0,13.0,
66979,-33.86388889,-60.66805556,ARG,,0.0,,,0.1,6.4,6.3,44.0,48.0,8.0,
66979,-33.86388889,-60.66805556,ARG,,0.0,,,0.1,2.4,6.4,17.0,66.0,17.0,
66979,-33.86388889,-60.66805556,ARG,,1.0,,,,1.5,7.3,7.0,70.0,23.0,
66980,-33.95138889,-60.55416667,ARG,,0.0,,,0.1,16.0,6.2,22.0,62.0,16.0,
66980,-33.95138889,-60.55416667,ARG,,,,,,7.2,6.8,20.0,63.0,17.0,
66980,-33.95138889,-60.55416667,ARG,,,,,,5.0,7.3,33.0,53.0,14.0,
66980,-33.95138889,-60.55416667,ARG,,,,,,2.7,8.0,35.0,48.0,17.0,
66980,-33.95138889,-60.55416667,ARG,,42.0,,,,1.0,8.8,21.0,64.0,15.0,
