fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-10-01,10.84,55.72,5.56,20.02,0.38
1981-11-01,10.1,52.9,5.86,21.08,9.82
1981-12-01,11.95,57.43,5.24,18.86,25.67
1982-01-01,15.23,54.33,4.79,17.23,26.56
1982-02-01,13.11,56.92,5.95,21.42,15.96
1982-03-01,11.17,58.1,5.71,20.56,4.3
1982-04-01,8.34,69.63,4.42,15.9,13.93
1982-05-01,5.27,85.08,4.19,15.09,45.55
1982-06-01,0.34,88.52,4.08,14.67,24.36
1982-07-01,-1.35,89.4,4.18,15.04,11.98
1982-08-01,1.37,83.71,4.12,14.84,37.12
1982-09-01,4.39,73.8,4.21,15.16,26.08
1982-10-01,6.61,66.32,5.1,18.35,28.61
1982-11-01,10.3,62.45,4.92,17.7,36.86
1982-12-01,12.71,52.46,5.36,19.31,14.19
1983-01-01,14.27,53.07,4.91,17.67,29.12
1983-02-01,11.91,59.49,5.69,20.47,20.48
1983-03-01,10.38,69.7,5.21,18.76,28.11
1983-04-01,8.4,76.92,3.75,13.49,49.49
1983-05-01,3.84,86.19,3.78,13.62,30.41
1983-06-01,1.3,86.95,5.16,18.56,18.05
1983-07-01,1.5,83.68,5.46,19.67,23.34
1983-08-01,3.63,78.89,4.4,15.83,10.8
1983-09-01,5.1,68.01,4.8,17.26,8.75
1983-10-01,7.83,61.2,4.47,16.1,7.92
1983-11-01,11.15,51.99,6.23,22.41,11.4
1983-12-01,13.87,53.07,4.96,17.87,29.74
1984-01-01,13.41,53.95,5.83,20.97,39.83
1984-02-01,11.72,58.36,5.21,18.77,15.92
1984-03-01,11.33,61.49,4.07,14.65,7.99
1984-04-01,7.5,68.91,5.7,20.53,11.93
1984-05-01,0.74,81.94,4.68,16.85,25.62
1984-06-01,-0.78,91.52,3.79,13.63,14.1
1984-07-01,-2.46,92.49,3.72,13.38,31.7
1984-08-01,1.69,80.65,4.56,16.42,12.48
1984-09-01,5.39,74.39,3.63,13.05,19.61
1984-10-01,7.15,66.25,4.53,16.31,27.27
1984-11-01,10.97,57.24,5.12,18.42,20.44
1984-12-01,13.94,54.1,4.1,14.77,9.2
1985-01-01,15.31,49.15,4.98,17.92,9.23
1985-02-01,14.19,53.88,6.36,22.89,9.54
1985-03-01,9.35,62.42,5.38,19.38,22.78
1985-04-01,6.96,73.22,4.89,17.61,48.19
1985-05-01,3.09,84.55,4.34,15.62,31.21
1985-06-01,1.52,93.0,3.34,12.04,37.85
1985-07-01,1.75,87.45,4.5,16.18,14.34
1985-08-01,3.36,74.37,5.75,20.7,5.61
1985-09-01,5.33,67.89,5.46,19.66,19.6
1985-10-01,8.11,63.55,3.95,14.2,11.88
1985-11-01,12.03,55.33,4.77,17.16,21.36
1985-12-01,13.11,50.4,6.3,22.69,14.54
1986-01-01,13.74,49.38,6.3,22.67,8.22
1986-02-01,11.44,54.27,6.62,23.81,19.13
1986-03-01,9.75,62.17,5.08,18.28,25.97
1986-04-01,6.73,68.68,5.23,18.83,15.27
1986-05-01,3.0,86.73,4.4,15.83,43.5
1986-06-01,1.07,79.44,5.45,19.62,5.12
1986-07-01,1.54,78.52,5.66,20.38,12.01
1986-08-01,2.87,74.7,5.03,18.12,9.55
1986-09-01,4.84,66.73,4.75,17.11,5.11
1986-10-01,8.4,59.99,4.11,14.81,10.36
