fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-10-01,28.09,67.2,2.78,10.02,38.27
1981-11-01,27.56,63.77,2.33,8.37,125.94
1981-12-01,27.57,64.62,2.29,8.23,149.83
1982-01-01,26.25,73.27,2.07,7.47,210.48
1982-02-01,25.05,81.98,2.23,8.01,226.59
1982-03-01,23.92,85.27,1.69,6.09,284.29
1982-04-01,21.75,85.87,1.91,6.89,147.29
1982-05-01,18.58,80.6,1.62,5.84,54.01
1982-06-01,16.81,80.41,1.52,5.48,46.04
1982-07-01,18.79,78.6,1.91,6.87,35.79
1982-08-01,19.79,68.79,1.99,7.18,7.93
1982-09-01,23.02,65.13,2.46,8.85,53.61
1982-10-01,25.73,55.0,2.41,8.67,40.82
1982-11-01,28.54,56.83,2.76,9.94,56.74
1982-12-01,27.94,62.91,2.11,7.58,192.4
1983-01-01,27.74,76.4,1.71,6.16,371.82
1983-02-01,25.81,77.3,2.0,7.22,153.4
1983-03-01,25.68,74.62,2.04,7.36,106.89
1983-04-01,24.24,74.15,1.97,7.09,85.49
1983-05-01,20.75,77.01,1.77,6.39,51.48
1983-06-01,14.75,74.19,1.53,5.52,19.54
1983-07-01,16.51,70.88,1.73,6.23,26.53
1983-08-01,18.79,62.2,1.93,6.95,33.93
1983-09-01,19.85,57.45,2.12,7.63,60.22
1983-10-01,24.96,59.7,2.78,10.0,129.33
1983-11-01,25.19,69.58,2.3,8.28,111.29
1983-12-01,28.2,63.63,2.11,7.61,133.98
1984-01-01,26.67,79.48,1.84,6.61,285.73
1984-02-01,25.83,79.07,2.87,10.33,199.44
1984-03-01,24.81,84.22,1.82,6.54,296.19
1984-04-01,20.65,84.37,1.58,5.67,71.95
1984-05-01,20.14,81.89,1.52,5.48,76.76
1984-06-01,15.8,82.12,1.56,5.63,54.17
1984-07-01,17.14,74.44,1.56,5.62,29.27
1984-08-01,17.23,65.76,1.73,6.24,30.35
1984-09-01,23.57,56.95,2.27,8.16,37.16
