fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-09-01,6.01,72.39,4.95,17.81,4.68
1981-10-01,8.06,70.07,5.69,20.48,15.56
1981-11-01,9.56,59.24,5.81,20.93,11.95
1981-12-01,11.2,63.33,5.41,19.48,36.96
1982-01-01,14.31,62.27,4.56,16.4,53.32
1982-02-01,12.37,63.86,5.82,20.97,27.26
1982-03-01,10.7,64.68,5.75,20.69,9.73
1982-04-01,7.99,75.7,4.8,17.27,16.08
1982-05-01,5.24,88.97,4.04,14.55,40.05
1982-06-01,0.68,92.39,3.69,13.28,26.55
1982-07-01,-0.51,90.43,4.23,15.24,14.7
1982-08-01,1.54,85.99,3.89,14.02,25.68
1982-09-01,4.63,76.49,4.39,15.79,28.01
1982-10-01,6.49,70.72,5.31,19.12,43.67
1982-11-01,9.84,68.02,4.9,17.65,48.52
1982-12-01,11.97,59.18,5.31,19.1,21.19
1983-01-01,13.27,60.2,5.06,18.22,35.07
1983-02-01,11.03,65.74,5.75,20.69,30.12
1983-03-01,10.09,74.09,5.3,19.06,40.27
1983-04-01,7.97,83.2,3.57,12.86,60.53
1983-05-01,4.08,89.18,3.55,12.77,49.97
1983-06-01,1.37,90.71,4.67,16.8,26.56
1983-07-01,1.46,88.31,5.07,18.26,28.48
1983-08-01,3.44,84.6,4.33,15.57,17.63
1983-09-01,5.04,74.15,4.73,17.01,10.59
1983-10-01,7.38,68.08,4.87,17.52,10.86
1983-11-01,10.41,59.18,5.87,21.12,17.91
1983-12-01,12.85,59.69,5.2,18.71,29.3
1984-01-01,12.05,62.67,5.77,20.78,65.99
1984-02-01,11.15,64.82,5.08,18.27,23.12
1984-03-01,10.66,67.97,3.93,14.16,12.66
1984-04-01,7.28,74.73,5.73,20.63,15.71
1984-05-01,0.86,85.1,4.4,15.83,19.9
1984-06-01,-0.14,93.38,3.67,13.23,17.57
1984-07-01,-2.06,93.71,3.59,12.94,40.62
1984-08-01,1.87,83.75,4.53,16.31,14.19
1984-09-01,5.09,78.64,3.43,12.36,21.66
1984-10-01,6.86,71.74,4.33,15.59,38.25
1984-11-01,10.56,62.24,5.16,18.56,25.16
1984-12-01,13.53,58.19,4.01,14.45,8.29
1985-01-01,14.77,54.77,4.73,17.02,17.82
1985-02-01,13.63,59.8,6.19,22.28,22.9
1985-03-01,8.82,68.77,5.39,19.41,32.54
1985-04-01,6.65,78.29,4.65,16.72,50.77
1985-05-01,3.24,87.53,4.11,14.81,47.72
1985-06-01,2.14,94.14,3.08,11.08,38.55
1985-07-01,1.84,90.47,4.15,14.96,21.02
1985-08-01,3.39,79.86,5.66,20.36,10.26
1985-09-01,5.09,73.27,5.11,18.4,28.26
1985-10-01,7.79,70.6,4.1,14.75,15.92
1985-11-01,11.15,63.95,4.76,17.14,33.84
1985-12-01,12.12,58.74,6.23,22.43,27.61
1986-01-01,12.73,56.55,6.05,21.78,16.55
1986-02-01,10.88,60.05,6.47,23.29,19.09
1986-03-01,9.25,68.45,5.19,18.69,34.29
1986-04-01,6.48,74.88,4.95,17.82,25.71
1986-05-01,2.79,90.24,3.95,14.23,67.98
1986-06-01,0.93,84.77,5.22,18.8,10.2
1986-07-01,1.44,84.58,5.22,18.78,20.2
1986-08-01,3.06,80.2,5.02,18.07,9.05
1986-09-01,4.62,73.34,4.82,17.35,6.93
1986-10-01,7.93,67.12,4.02,14.47,18.42
1986-11-01,9.17,64.06,5.35,19.26,29.55
1986-12-01,11.91,58.41,6.67,24.0,22.45
1987-01-01,12.66,57.86,6.1,21.97,44.86
1987-02-01,12.73,62.61,5.09,18.31,25.01
1987-03-01,10.88,65.71,4.98,17.92,15.69
1987-04-01,7.88,77.09,5.02,18.09,42.55
1987-05-01,4.64,87.71,4.15,14.93,42.88
1987-06-01,2.01,89.75,4.68,16.86,64.94
1987-07-01,1.54,88.96,4.99,17.96,62.26
1987-08-01,1.83,85.64,3.57,12.83,33.72
1987-09-01,4.21,75.91,4.91,17.66,9.38
1987-10-01,8.14,69.75,4.41,15.88,16.46
1987-11-01,11.32,59.85,5.46,19.66,12.36
1987-12-01,12.04,59.51,5.32,19.16,20.84
1988-01-01,11.48,63.2,6.09,21.93,39.22
1988-02-01,13.25,60.46,5.23,18.82,10.46
1988-03-01,11.52,63.61,5.29,19.06,16.17
1988-04-01,6.51,79.76,4.52,16.26,45.48
1988-05-01,5.17,86.18,4.09,14.73,35.23
1988-06-01,2.23,89.64,4.11,14.78,38.16
1988-07-01,1.37,88.61,4.44,15.99,22.24
1988-08-01,1.74,83.35,4.48,16.13,26.27
1988-09-01,5.95,72.36,4.68,16.86,8.25
1988-10-01,6.67,68.78,4.56,16.4,55.16
1988-11-01,10.47,61.0,6.36,22.89,23.42
1988-12-01,10.85,59.91,6.48,23.34,36.29
1989-01-01,12.26,61.6,5.46,19.64,56.14
1989-02-01,13.13,63.35,5.48,19.74,42.81
1989-03-01,10.97,67.34,4.63,16.67,20.51
1989-04-01,7.12,76.62,5.09,18.32,30.91
1989-05-01,4.86,83.07,4.58,16.5,25.82
1989-06-01,1.61,88.47,4.42,15.92,19.87
1989-07-01,1.67,90.14,3.76,13.55,17.99
1989-08-01,2.67,81.7,4.29,15.45,19.51
1989-09-01,4.48,73.02,4.64,16.71,17.57
1989-10-01,7.93,65.34,5.67,20.42,19.97
1989-11-01,10.92,60.62,5.09,18.33,20.05
1989-12-01,11.82,57.95,5.16,18.58,31.84
1990-01-01,12.12,59.96,5.26,18.94,24.24
1990-02-01,14.26,61.21,4.35,15.65,16.01
1990-03-01,10.49,69.69,5.25,18.88,62.35
1990-04-01,5.15,79.72,5.68,20.44,45.04
1990-05-01,4.24,88.32,4.43,15.94,73.52
1990-06-01,1.61,88.73,4.79,17.23,29.96
1990-07-01,1.84,86.82,4.31,15.51,24.21
1990-08-01,1.92,82.18,5.78,20.81,50.82
1990-09-01,4.07,80.62,4.83,17.4,22.55
1990-10-01,7.58,69.34,5.37,19.33,29.58
1990-11-01,8.6,62.34,6.65,23.95,28.44
1990-12-01,10.28,66.96,4.85,17.46,49.02
1991-01-01,12.91,59.94,4.73,17.04,28.75
1991-02-01,12.09,65.65,4.79,17.23,33.8
1991-03-01,9.12,74.73,5.46,19.64,57.66
1991-04-01,6.37,77.1,4.0,14.4,26.84
1991-05-01,3.92,85.45,5.11,18.39,23.69
1991-06-01,0.57,91.19,4.37,15.73,25.94
