fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,velocidad_viento_km_h,precipitacion_mm_mes
1981-10-01,10.78,62.93,2.7,9.72,32.31
1981-11-01,12.18,60.71,2.99,10.75,90.03
1981-12-01,11.89,64.73,3.0,10.79,106.15
1982-01-01,10.46,71.37,2.62,9.43,169.19
1982-02-01,11.08,70.11,2.33,8.38,100.66
1982-03-01,10.68,75.01,2.35,8.44,99.97
1982-04-01,8.57,69.38,1.98,7.12,69.79
1982-05-01,4.57,55.41,1.94,6.98,7.07
1982-06-01,2.64,39.01,2.91,10.49,16.45
1982-07-01,3.74,39.27,2.43,8.75,34.11
1982-08-01,6.46,49.19,2.33,8.4,34.81
1982-09-01,8.03,50.95,2.65,9.53,20.2
1982-10-01,10.65,53.94,2.95,10.62,14.76
1982-11-01,12.63,56.49,3.13,11.27,37.16
1982-12-01,11.66,58.73,2.69,9.68,79.32
1983-01-01,12.91,62.28,2.69,9.7,76.7
1983-02-01,12.47,62.89,2.45,8.83,54.67
1983-03-01,12.68,60.44,2.56,9.23,39.06
1983-04-01,10.96,62.59,2.27,8.16,97.24
1983-05-01,5.98,47.78,2.45,8.82,11.39
1983-06-01,3.11,37.57,3.19,11.48,2.06
1983-07-01,3.74,34.2,3.28,11.8,13.63
1983-08-01,6.28,35.3,2.7,9.73,5.92
1983-09-01,6.25,28.51,3.28,11.81,15.23
1983-10-01,10.16,49.95,2.89,10.39,20.04
1983-11-01,10.45,55.35,2.96,10.64,45.04
1983-12-01,11.72,60.65,2.85,10.25,97.73
1984-01-01,10.79,70.22,2.43,8.77,191.39
1984-02-01,10.76,74.01,2.38,8.58,132.58
1984-03-01,10.3,75.9,2.28,8.19,132.44
1984-04-01,8.65,67.08,2.0,7.19,6.79
1984-05-01,6.31,47.87,2.14,7.69,7.68
1984-06-01,3.29,41.32,2.82,10.16,13.1
1984-07-01,3.59,40.24,2.8,10.09,26.02
1984-08-01,3.39,42.79,2.73,9.84,40.27
