iter	RMSE
0	129029.2936
1	113179.1162
2	101484.9168
3	92528.12495
4	86065.5924
5	81136.7225
6	77593.33135
7	73210.5807
8	71241.31293
9	68283.19923
10	66741.4688
11	64617.84777
12	63727.61162
13	62319.23862
14	60944.83226
15	60335.44135
16	58962.38325
17	58502.47603
18	57526.63984
19	57203.2098
20	55952.05155
21	55658.61466
22	54742.21794
23	54318.31805
24	53473.86062
25	52926.99828
26	52163.3546
27	51810.37996
28	50412.3956
29	49899.4845
30	49641.71997
31	49195.62079
32	48960.34606
33	48597.90944
34	48192.03108
35	47878.37563
36	47665.37938
37	46771.47301
38	46519.93235
39	46316.60431
40	45981.29478
41	45710.20327
42	45521.38652
43	45278.29759
44	45012.52031
45	44448.73109
46	44236.68705
47	44119.97947
48	43967.87189
49	43799.56042
50	43631.18098
51	43518.10911
52	43461.69913
53	43327.30995
54	43048.48531
55	42815.87187
56	42517.39111
57	42386.44873
58	42205.91368
59	42093.60994
60	41917.00478
61	41845.96844
62	41760.65954
63	41610.12264
64	41433.50566
65	41327.52274
66	41188.36157
67	41118.0439
68	40928.16438
69	40837.4072
70	40660.73657
71	40551.04469
72	40482.44089
73	40382.91246
74	40305.51128
75	40147.59193
76	40046.58546
77	39953.57889
78	39878.32457
79	39779.13402
80	39672.92196
81	39510.57683
82	39398.17659
83	39351.59876
84	39222.53335
85	39125.12334
86	38948.70935
87	38791.33995
88	38583.87109
89	38544.54629
90	38434.87457
91	38318.84695
92	38255.83721
93	38200.33357
94	38166.94277
95	37990.23972
96	37915.80626
97	37834.385
98	37801.25457
99	37711.44497
100	37597.46417
101	37520.59741
102	37403.42304
103	37359.86798
104	37283.97825
105	37202.08411
106	37113.50177
107	37053.28627
108	36988.09561
109	36924.82031
110	36848.55239
111	36788.47636
112	36638.53415
113	36583.79161
114	36531.84507
115	36443.107
116	36360.42787
117	36309.25661
118	36244.48864
119	36144.48609
120	36054.09827
121	36012.46919
122	35968.23755
123	35880.71708
124	35846.53551
125	35804.27285
126	35765.8962
127	35699.72435
128	35590.82466
129	35515.29382
130	35439.92519
131	35393.95033
132	35296.93373
133	35258.29382
134	35210.70197
135	35147.7204
136	35096.17897
137	35041.61309
138	34990.79088
139	34920.86755
140	34824.29657
141	34782.90513
142	34746.65538
143	34688.46874
144	34649.84236
145	34583.95063
146	34517.53983
147	34463.36527
148	34412.8232
149	34359.16407
150	34314.54421
151	34245.4465
152	34192.51278
153	34134.49156
154	34084.51087
155	34019.58807
156	33925.85633
157	33883.46834
158	33847.23251
159	33792.75551
160	33740.5787
161	33711.29445
162	33684.84273
163	33652.58387
164	33603.92391
165	33579.22861
166	33531.21747
167	33469.0842
168	33432.3438
169	33399.26124
170	33352.31693
171	33320.40486
172	33252.14351
173	33191.45214
174	33159.04117
175	33125.65022
176	33099.2238
177	33065.77651
178	33029.94098
179	32987.22819
180	32968.64163
181	32917.80247
182	32837.38301
183	32795.96002
184	32759.86179
185	32701.26056
186	32665.56599
187	32600.17071
188	32576.85592
189	32540.56566
190	32494.98833
191	32475.68815
192	32437.24604
193	32411.31071
194	32370.38784
195	32328.481
196	32278.01173
197	32254.31415
198	32201.3519
199	32175.89517
200	32143.68437
201	32081.78395
202	32056.94591
203	32031.01965
204	32011.96656
205	31986.55318
206	31936.59713
207	31918.58639
208	31903.19793
209	31871.58471
210	31855.05855
211	31833.26379
212	31798.99962
213	31774.20015
214	31740.02042
215	31711.56167
216	31683.5019
217	31610.14715
218	31587.64007
219	31565.27299
220	31549.70228
221	31531.98428
222	31515.3492
223	31485.83466
224	31447.4499
225	31412.85949
226	31385.82428
227	31364.28392
228	31337.06346
229	31312.85761
230	31265.747
231	31222.64897
232	31169.29817
233	31156.26272
234	31112.31952
235	31075.25888
236	31053.08042
237	31016.94849
238	30973.85162
239	30953.11771
240	30898.8228
241	30877.94301
242	30854.11687
243	30819.87661
244	30799.68177
245	30776.36204
246	30738.79499
247	30716.12168
248	30681.80496
