iter	Passed	Remaining
0	151	75728
1	157	39274
2	163	27158
3	170	21115
4	177	17538
5	183	15099
6	190	13391
7	196	12099
8	203	11084
9	209	10283
10	216	9625
11	222	9039
12	228	8571
13	233	8122
14	240	7792
15	248	7505
16	254	7237
17	260	6979
18	265	6723
19	270	6498
20	275	6287
21	280	6101
22	285	5913
23	289	5745
24	294	5593
25	299	5455
26	303	5318
27	307	5186
28	312	5068
29	317	4968
30	322	4872
31	326	4780
32	331	4697
33	337	4618
34	342	4545
35	348	4489
36	353	4425
37	359	4373
38	365	4319
39	371	4268
40	377	4220
41	382	4171
42	388	4126
43	394	4085
44	400	4048
45	406	4013
46	412	3977
47	418	3940
48	424	3907
49	430	3876
50	436	3846
51	443	3818
52	448	3785
53	454	3755
54	459	3721
55	466	3696
56	472	3675
57	477	3639
58	483	3611
59	488	3581
60	492	3546
61	499	3532
62	505	3509
63	511	3483
64	517	3463
65	523	3439
66	529	3423
67	536	3409
68	543	3394
69	548	3369
70	554	3351
71	561	3338
72	567	3322
73	575	3311
74	581	3296
75	588	3283
76	594	3267
77	602	3258
78	608	3243
79	614	3224
80	619	3203
81	625	3188
82	632	3179
83	639	3166
84	646	3154
85	652	3139
86	658	3125
87	664	3110
88	671	3102
89	677	3087
90	683	3071
91	690	3062
92	697	3050
93	703	3039
94	709	3022
95	714	3007
96	720	2994
97	726	2980
98	732	2966
99	738	2953
100	744	2939
101	750	2927
102	755	2913
103	762	2904
104	768	2890
105	774	2877
106	779	2864
107	786	2855
108	792	2842
109	798	2830
110	803	2817
111	811	2810
112	818	2801
113	823	2789
114	830	2779
115	836	2768
116	843	2759
117	849	2749
118	854	2734
119	860	2726
120	867	2716
121	873	2706
122	880	2697
123	885	2686
124	891	2674
125	898	2667
126	904	2655
127	909	2643
128	914	2631
129	921	2621
130	928	2615
131	934	2605
132	939	2593
133	947	2586
134	955	2582
135	962	2575
136	969	2568
137	975	2559
138	984	2555
139	990	2547
140	997	2540
141	1004	2531
142	1010	2523
143	1016	2512
144	1022	2504
